timestamps,TP9,AF7,AF8,TP10,Right AUX
1718226379.783,-69.824,-49.316,-44.922,-62.988,0.000
1718226379.787,-63.477,-48.828,-41.504,-58.105,0.000
1718226379.791,-55.176,-38.086,-39.551,-63.965,0.000
1718226379.795,-53.711,-40.039,-44.434,-61.035,0.000
1718226379.799,-67.871,-47.363,-47.363,-59.570,0.000
1718226379.803,-66.895,-55.664,-38.574,-63.477,0.000
1718226379.807,-44.922,-49.805,-41.992,-50.781,0.000
1718226379.811,-52.246,-48.340,-54.688,-54.688,0.000
1718226379.815,-55.664,-46.875,-54.688,-50.781,0.000
1718226379.819,-46.875,-37.109,-60.547,-48.828,0.000
1718226379.822,-51.270,-37.109,-55.664,-57.617,0.000
1718226379.826,-59.570,-37.598,-41.992,-64.453,0.000
1718226379.830,-61.523,-39.062,-51.270,-63.477,0.000
1718226379.834,-56.641,-42.480,-47.852,-41.016,0.000
1718226379.838,-62.012,-43.457,-41.504,-47.852,0.000
1718226379.842,-58.105,-44.434,-49.316,-51.270,0.000
1718226379.846,-55.176,-45.898,-54.688,-42.969,0.000
1718226379.850,-69.824,-53.711,-53.711,-60.547,0.000
1718226379.854,-67.383,-58.594,-49.805,-67.383,0.000
1718226379.858,-52.246,-58.105,-49.316,-50.293,0.000
1718226379.862,-53.711,-49.805,-62.988,-46.387,0.000
1718226379.865,-45.410,-34.668,-56.152,-62.500,0.000
1718226379.869,-47.363,-35.156,-25.391,-55.664,0.000
1718226379.873,-61.035,-42.969,-35.645,-47.363,0.000
1718226379.877,-44.434,-38.574,-53.223,-48.340,0.000
1718226379.881,-43.457,-40.039,-52.246,-57.617,0.000
1718226379.885,-57.617,-41.992,-39.551,-62.500,0.000
1718226379.889,-58.594,-34.668,-40.527,-65.430,0.000
1718226379.893,-57.617,-38.086,-55.176,-70.801,0.000
1718226379.897,-50.293,-41.504,-52.246,-56.152,0.000
1718226379.901,-49.805,-41.016,-47.363,-43.945,0.000
1718226379.905,-50.293,-44.434,-51.758,-46.387,0.000
1718226379.908,-49.316,-40.527,-56.152,-50.293,0.000
1718226379.912,-44.434,-29.785,-51.758,-41.992,0.000
1718226379.916,-40.527,-25.879,-51.758,-40.527,0.000
1718226379.920,-55.664,-37.109,-51.758,-45.410,0.000
1718226379.924,-61.523,-33.691,-35.156,-63.477,0.000
1718226379.928,-62.500,-20.996,-31.250,-76.172,0.000
1718226379.932,-50.781,-25.391,-36.133,-59.082,0.000
1718226379.936,-33.691,-21.484,-40.527,-34.668,0.000
1718226379.940,-37.598,-22.461,-49.805,-38.574,0.000
1718226379.944,-66.406,-32.227,-44.434,-65.918,0.000
1718226379.948,-81.543,-37.598,-37.109,-62.500,0.000
1718226379.951,-76.172,-41.504,-50.293,-57.129,0.000
1718226379.955,-65.918,-41.504,-60.547,-64.453,0.000
1718226379.959,-48.340,-34.668,-60.547,-61.035,0.000
1718226379.963,-35.156,-23.926,-52.734,-32.715,0.000
1718226379.967,-50.293,-32.227,-50.293,-33.203,0.000
1718226379.971,-62.500,-39.062,-62.500,-67.383,0.000
1718226379.975,-53.223,-32.227,-49.805,-56.152,0.000
1718226379.979,-50.781,-30.273,-38.086,-49.805,0.000
1718226379.983,-39.062,-20.020,-60.059,-48.340,0.000
1718226379.987,-35.645,-13.672,-64.453,-41.992,0.000
1718226379.990,-47.363,-20.996,-48.828,-41.504,0.000
1718226379.994,-55.664,-28.809,-47.363,-62.988,0.000
1718226379.998,-58.594,-36.621,-48.828,-66.406,0.000
1718226380.002,-48.340,-31.738,-42.480,-44.922,0.000
1718226380.006,-39.551,-27.832,-45.898,-40.039,0.000
1718226380.010,-42.969,-39.062,-42.969,-53.223,0.000
1718226380.014,-53.223,-38.574,-49.805,-63.477,0.000
1718226380.018,-53.223,-38.086,-60.059,-51.270,0.000
1718226380.022,-38.574,-42.969,-51.270,-29.297,0.000
1718226380.026,-29.785,-43.945,-52.246,-32.715,0.000
1718226380.030,-47.363,-48.340,-57.617,-53.223,0.000
1718226380.033,-50.781,-45.410,-58.594,-50.293,0.000
1718226380.037,-40.039,-40.039,-58.105,-52.734,0.000
1718226380.041,-42.480,-38.086,-57.129,-49.805,0.000
1718226380.045,-42.480,-36.133,-54.688,-39.551,0.000
1718226380.049,-45.898,-34.668,-43.457,-41.504,0.000
1718226380.053,-41.992,-36.621,-47.363,-30.273,0.000
1718226380.057,-35.156,-33.203,-70.801,-32.715,0.000
1718226380.061,-27.344,-24.414,-58.105,-42.480,0.000
1718226380.065,-22.949,-25.391,-31.250,-35.645,0.000
1718226380.069,-42.969,-30.762,-33.691,-47.363,0.000
1718226380.073,-63.965,-34.180,-39.551,-63.477,0.000
1718226380.076,-57.617,-32.227,-43.457,-61.035,0.000
